year,sector,sub_sector,number_of_electricity_accounts
2005,Commerce and Services-related,Accommodation and Food Services,7700
2005,Commerce and Services-related,Commerce and Services-related,100770
2005,Commerce and Services-related,Financial and Insurance Activities,3860
2005,Commerce and Services-related,Information and Communications,8590
2005,Commerce and Services-related,Other Commerce and Services-related,20260
2005,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",8380
2005,Commerce and Services-related,Real Estate Activities,20700
2005,Commerce and Services-related,Wholesale and Retail Trade,31280
2005,Households,Households,1082410
2005,Industrial-related,Construction,5080
2005,Industrial-related,Industrial-related,14530
2005,Industrial-related,Manufacturing,8120
2005,Industrial-related,Other Industrial-related,180
2005,Industrial-related,Utilities,1140
2005,Others,Others,30520
2005,Overall,Overall,1230660
2005,Transport-Related,Transport-related,2420
2006,Commerce and Services-related,Accommodation and Food Services,8120
2006,Commerce and Services-related,Commerce and Services-related,102150
2006,Commerce and Services-related,Financial and Insurance Activities,3920
2006,Commerce and Services-related,Information and Communications,8790
2006,Commerce and Services-related,Other Commerce and Services-related,20800
2006,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",8670
2006,Commerce and Services-related,Real Estate Activities,20340
2006,Commerce and Services-related,Wholesale and Retail Trade,31510
2006,Households,Households,1089900
2006,Industrial-related,Construction,5150
2006,Industrial-related,Industrial-related,14630
2006,Industrial-related,Manufacturing,8320
2006,Industrial-related,Other Industrial-related,180
2006,Industrial-related,Utilities,970
2006,Others,Others,29240
2006,Overall,Overall,1238460
2006,Transport-Related,Transport-related,2540
2007,Commerce and Services-related,Accommodation and Food Services,8700
2007,Commerce and Services-related,Commerce and Services-related,105200
2007,Commerce and Services-related,Financial and Insurance Activities,4010
2007,Commerce and Services-related,Information and Communications,9110
2007,Commerce and Services-related,Other Commerce and Services-related,21560
2007,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9110
2007,Commerce and Services-related,Real Estate Activities,20420
2007,Commerce and Services-related,Wholesale and Retail Trade,32280
2007,Households,Households,1101230
2007,Industrial-related,Construction,6160
2007,Industrial-related,Industrial-related,16080
2007,Industrial-related,Manufacturing,8760
2007,Industrial-related,Other Industrial-related,190
2007,Industrial-related,Utilities,980
2007,Others,Others,27620
2007,Overall,Overall,1252830
2007,Transport-Related,Transport-related,2710
2008,Commerce and Services-related,Accommodation and Food Services,9310
2008,Commerce and Services-related,Commerce and Services-related,107050
2008,Commerce and Services-related,Financial and Insurance Activities,4110
2008,Commerce and Services-related,Information and Communications,9290
2008,Commerce and Services-related,Other Commerce and Services-related,22590
2008,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9500
2008,Commerce and Services-related,Real Estate Activities,19660
2008,Commerce and Services-related,Wholesale and Retail Trade,32600
2008,Households,Households,1117660
2008,Industrial-related,Construction,7360
2008,Industrial-related,Industrial-related,17820
2008,Industrial-related,Manufacturing,9230
2008,Industrial-related,Other Industrial-related,220
2008,Industrial-related,Utilities,1010
2008,Others,Others,25090
2008,Overall,Overall,1270470
2008,Transport-Related,Transport-related,2850
2009,Commerce and Services-related,Accommodation and Food Services,10000
2009,Commerce and Services-related,Commerce and Services-related,106960
2009,Commerce and Services-related,Financial and Insurance Activities,4000
2009,Commerce and Services-related,Information and Communications,9230
2009,Commerce and Services-related,Other Commerce and Services-related,23070
2009,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9510
2009,Commerce and Services-related,Real Estate Activities,18290
2009,Commerce and Services-related,Wholesale and Retail Trade,32860
2009,Households,Households,1131890
2009,Industrial-related,Construction,7730
2009,Industrial-related,Industrial-related,18290
2009,Industrial-related,Manufacturing,9380
2009,Industrial-related,Other Industrial-related,220
2009,Industrial-related,Utilities,950
2009,Others,Others,23440
2009,Overall,Overall,1283320
2009,Transport-Related,Transport-related,2750
2010,Commerce and Services-related,Accommodation and Food Services,10460
2010,Commerce and Services-related,Commerce and Services-related,110410
2010,Commerce and Services-related,Financial and Insurance Activities,4120
2010,Commerce and Services-related,Information and Communications,9460
2010,Commerce and Services-related,Other Commerce and Services-related,24220
2010,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9910
2010,Commerce and Services-related,Real Estate Activities,18840
2010,Commerce and Services-related,Wholesale and Retail Trade,33420
2010,Households,Households,1149920
2010,Industrial-related,Construction,8490
2010,Industrial-related,Industrial-related,19350
2010,Industrial-related,Manufacturing,9660
2010,Industrial-related,Other Industrial-related,220
2010,Industrial-related,Utilities,980
2010,Others,Others,22600
2010,Overall,Overall,1305070
2010,Transport-Related,Transport-related,2800
2011,Commerce and Services-related,Accommodation and Food Services,10740
2011,Commerce and Services-related,Commerce and Services-related,113090
2011,Commerce and Services-related,Financial and Insurance Activities,4270
2011,Commerce and Services-related,Information and Communications,9780
2011,Commerce and Services-related,Other Commerce and Services-related,24630
2011,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",10400
2011,Commerce and Services-related,Real Estate Activities,19030
2011,Commerce and Services-related,Wholesale and Retail Trade,34250
2011,Households,Households,1171360
